$c_start台灣0723$c_end
星衛电影台1,tvbus://5ixd4eARkmWRUdmjnAu17xUsC7ngBWDaxsmgk4LcxkFCkXELGn8CrfBYQijmA
公視三台HD,http://p06.iptv2asia.com:18888/http/018
公視台語HD,http://p06.iptv2asia.com:18888/http/017
公視,http://p06.iptv2asia.com:18888/http/016#mitv://fccseuro.pvbox.live:18912/5b1409600001a0b2b34e074d843505c0.ts
靖天娛樂,http://61.58.60.230:9319/live/204.m3u8
靖天日本,http://61.58.60.230:9319/live/243.m3u8
靖天映画,http://61.58.60.230:9319/live/244.m3u8
靖天歡樂,http://61.58.60.230:9319/live/201.m3u8
靖洋戲劇,http://61.58.60.230:9319/live/203.m3u8
中天综合,http://nb.iptv88888.xyz/hls/ztzonghe.m3u8#http://104.250.154.42:8080/ZZ_zhongtianzonghe/ZZ_zhongtianzonghe.m3u8
八大綜合,http://nb.iptv88888.xyz/hls/bdzonghe.m3u8#http:/104.250.154.42:8080//ZZ_zhongtianyazhou/ZZ_zhongtianyazhou.m3u8
八大戲劇,http://nb.iptv88888.xyz/hls/bdxiju.m3u8
东森戏剧,http://nb.iptv88888.xyz/hls/dsxiju.m3u8
台視新聞,http://p06.iptv2asia.com:18888/http/004#http://seb.sason.top/sc/tsxw_fhd.m3u8#http://nb.iptv88888.xyz/hls/tsxinwen.m3u8
中視新聞,http://p06.iptv2asia.com:18888/http/006#http://seb.sason.top/sc/zsxw_fhd.m3u8
華視新聞,http://p06.iptv2asia.com:18888/http/010#http://nb.iptv88888.xyz/hls/hsnews.m3u8#http://seb.sason.top/sc/hsxw_fhd.m3u8
壹新聞,http://stream.nexttv.com.tw/n001/hd/live.m3u8
*年代新聞,http://125.227.210.37:20434/VideoInput/play.ts#http://192.154.103.75:8080/ZZ_niandaixinwen/ZZ_niandianxinwen.m3u8#mitv://fccsovh.pvbox.live:18912/5c2dd76000032856525d0ee781504477.ts#http://104.250.154.42:8080/ZZ_niandaixinwen/ZZ_niandianxinwen.m3u8#mitv://fccsovh.pvbox.live:18912/5b1409fd000a726908ab5c9c5950d2f2.ts
*東森新聞,vjms://122.155.180.8:8500:3502/live/cid=340#http://125.227.210.37:19592/VideoInput/play.ts#mitv://fccsovh.pvbox.live:18912/5c2dd7310008b3195b1f53317f5456e2.ts#http://104.250.154.42:8080/ZZ_dongsenxinwen/ZZ_dongsenxinwen.m3u8#http://seb.sason.top/sc/dsxw_fhd.m3u8#
*中天新聞,http://125.227.210.37:64954/VideoInput/play.ts#m3u8#mitv://fccsovh.pvbox.live:18912/5c2dd72e0002527b8513c4ec41b6e9f5.ts#http://104.250.154.42:8080/ZZ_zhongtiannews/ZZ_zhongtiannews.m3u8#mitv://fccsovh.pvbox.live:18912/5c2dd72e0002527ba0c6fb284f0b9861.ts
*民視新聞,https://6.mms.vlog.xuite.net/hls/ftvtv/index.m3u8#http://210.61.56.23/hls/ftvtv/index.m3u8##p8p://0198.02686.cc:16871/5d1a69c50008f95211be20f5ac2747e5.ts#http://seb.sason.top/sc/msxw_fhd.m3u8
三立新聞,http://60.199.188.61/HLS/WG_ETTV-N/01.m3u8
TVBS新聞,http://60.199.188.61/HLS/WG_TVBS-N/01.m3u8
TVBS,http://hdtv.ub1818.com/ublive/index_5.m3u8
三立iNEWS,http://seb.sason.top/sc/slinews_fhd.m3u8
三立LIVE新聞,http://seb.sason.top/sc/sllive_fhd.m3u8#http://f8.apps8888.com:8080/live/4/6d823b340ed9e3c4cb6184ed3107125e/index.m3u8
*----,http://58.99.33.9:1935/liveedge2/live_37_1.stream/playlist.m3u8
台視財經,http://p06.iptv2asia.com:18888/http/003
東森財經新聞,http://nb.iptv88888.xyz/hls/dscaiji.m3u8#http://seb.sason.top/sc/dscjxw_fhd.m3u8
*CINEMAX,mitv://147.135.39.171:9906/5d9a26b0000b16229ca2651679a25739.ts
*東森電影,http://125.227.210.37:27889/VideoInput/play.ts#http://192.154.103.75:8080/ZZ_dongsendianying/ZZ_dongsendianying.m3u8
*龍祥時代,http://nb.iptv88888.xyz/hls/lxtime.m3u8#http://192.154.103.75:8080/ZZ_shidai/ZZ_shidai.m3u8#http://104.250.154.42:8080/ZZ_shidai/ZZ_shidai.m3u8
*好萊塢電影,http://125.227.210.37:47862/VideoInput/play.ts#http://nb.iptv88888.xyz/hls/haolaiwu.m3u8#http://192.154.103.75:8080//ZZ_haolaiwu/ZZ_haolaiwu.m3u8
HBO,http://220.158.149.14:9999/live/TV00000000000000000166@HHZT
HBO HD,vjms://58.215.133.189:8500/live/cid=261
FOX家庭影院,mitv://147.135.39.171:9906/5d9a33bb000a299f9cd557cf4d121c23.ts
*DOX院线HD,http://tkhz.vip/gd.php?id=DOXyuanxianHD_7000
FX HD,http://125.227.210.37:30834/VideoInput/play.ts
